c_alfabeta,principio_activo,marca_comercial,presentacion,laboratorio,potencia,potencia_medida,unidades_presentacion,pactivo_concentracion,periodo,copago
28697,budesonide,HYPERSOL B 50,spray nasal x 200 dosis,Cassarß,"50,0",mcg,200,"budesonide_50,0_mcg_200",202504,1706.88
28698,budesonide,HYPERSOL B 100,spray nasal x 100 dosis,Cassarß,"100,0",mcg,100,"budesonide_100,0_mcg_100",202504,1774.65
28710,estrógenos conjugados nat.,PREMARIN CD,0.3 mg grag.x 28,Pfizer,"300,0",mcg,28,"estrógenos conjugados nat._300,0_mcg_28",202504,331.73
28713,diazepam,DIACTAL ENEMA,pomo aplic.x 1 x 2.5 ml,Sidus,"5,0",mg,1,"diazepam_5,0_mg_1",202504,7266.99
28714,diazepam,DIACTAL ENEMA,pomo aplic.x 5 x 2.5 ml,Sidus,"25,0",mg,5,"diazepam_25,0_mg_5",202504,27343.65
28757,sildenafil,VIMAX,50 mg comp.x 6,Roemmers,"50,0",mg,6,"sildenafil_50,0_mg_6",202504,6538.11
28758,sildenafil,VIMAX,100 mg comp.x 6,Roemmers,"100,0",mg,6,"sildenafil_100,0_mg_6",202504,8989.16
28765,clobetasol,RIBATRA,0.05% cr.x 30 g,Panalab,"15,0",mg,1,"clobetasol_15,0_mg_1",202504,4424.99
28766,clobetasol,RIBATRA,0.05% ung.x 30 g,Panalab,"15,0",mg,1,"clobetasol_15,0_mg_1",202504,6288.58
28767,clobetasol,RIBATRA,0.05% loc.x 30 ml,Panalab,"15,0",mg,1,"clobetasol_15,0_mg_1",202504,6382.94
28769,alendronato,BREK,70 mg comp.x 4,Trb-Pharma,"70,0",mg,4,"alendronato_70,0_mg_4",202504,5809.71
28809,desloratadina,AERIUS,5 mg comp.rec.x 10,Organon Arg.,"5,0",mg,10,"desloratadina_5,0_mg_10",202504,15962.32
28810,desloratadina,AERIUS,5 mg comp.rec.x 30,Organon Arg.,"5,0",mg,30,"desloratadina_5,0_mg_30",202504,39350.58
28816,paroxetina,MEPLAR 20,20 mg comp.rec.x 10,Baliarda,"20,0",mg,10,"paroxetina_20,0_mg_10",202504,3958.56
28825,diclofenac sódico,DICLAC,150 mg comp.rapirtd.x 20,Siegfried,"150,0",mg,20,"diclofenac sódico_150,0_mg_20",202504,12354.02
28845,sildenafil,MAGNUS,25 mg comp.rec.x 2,Sidus,"25,0",mg,2,"sildenafil_25,0_mg_2",202504,1845.43
28846,sildenafil,MAGNUS,25 mg comp.rec.x 10,Sidus,"25,0",mg,10,"sildenafil_25,0_mg_10",202504,9226.76
28847,sildenafil,MAGNUS,50 mg comp.rec.x 2,Sidus,"50,0",mg,2,"sildenafil_50,0_mg_2",202504,2409.32
28848,sildenafil,MAGNUS,50 mg comp.rec.x 10,Sidus,"50,0",mg,10,"sildenafil_50,0_mg_10",202504,12047.65
28849,sildenafil,MAGNUS,100 mg comp.rec.x 2,Sidus,"100,0",mg,2,"sildenafil_100,0_mg_2",202504,3390.01
28850,sildenafil,MAGNUS,100 mg comp.rec.x 10,Sidus,"100,0",mg,10,"sildenafil_100,0_mg_10",202504,16949.59
28866,sildenafil,BIFORT,25 mg comp.rec.x 10,Finadiet,"25,0",mg,10,"sildenafil_25,0_mg_10",202504,5002.23
28868,sildenafil,BIFORT,100 mg comp.rec.x 10,Finadiet,"100,0",mg,10,"sildenafil_100,0_mg_10",202504,9591.13
28879,desogestrel,CERAZETTE,comp.rec.x 28,Organon Arg.,"75,0",mcg,28,"desogestrel_75,0_mcg_28",202504,10815.68
28894,"vit.b,complejo",BECOZYM,grag.x 30,Bayer Consumer,"115,2",mg,30,"vit.b,complejo_115,2_mg_30",202504,5925.6
28927,cinitaprida,ROGASTRIL,1 mg comp.x 30,Roemmers,"1,0",mg,30,"cinitaprida_1,0_mg_30",202504,8835.21
28928,"calcio,carbonato+vit.d3",TAXUS 400,400 mg comp.mast.x 30,Beta,"900,0",mg/UI,30,"calcio,carbonato+vit.d3_900,0_mg/UI_30",202504,5385.61
28929,candesartán cilexetil,DACTEN,8 mg comp.x 15,Elea,"8,0",mg,15,"candesartán cilexetil_8,0_mg_15",202504,8068.17
28930,candesartán cilexetil,DACTEN,8 mg comp.x 30,Elea,"8,0",mg,30,"candesartán cilexetil_8,0_mg_30",202504,16285.18
28931,candesartán cilexetil,DACTEN,16 mg comp.x 15,Elea,"16,0",mg,15,"candesartán cilexetil_16,0_mg_15",202504,11732.52
28932,candesartán cilexetil,DACTEN,16 mg comp.x 30,Elea,"16,0",mg,30,"candesartán cilexetil_16,0_mg_30",202504,24287.98
28933,fluvastatina,LESCOL XL,80 mg comp.x 28,Novartis,"80,0",mg,28,"fluvastatina_80,0_mg_28",202504,1021.42
28943,atorvastatín,ATEROCLAR,40 mg comp.rec.x 30,Beta,"40,0",mg,30,"atorvastatín_40,0_mg_30",202504,9846.93
28945,metronidazol+asoc.,NAXO TV,ov.x 12,Rontag,,No Clasificada,12,metronidazol+asoc._No Clasificada_12,202504,502.36
28970,plántago ovata,PLANTABEN,sob.monodosis x 30,Takeda,"3,5",g,30,"plántago ovata_3,5_g_30",202504,812.05
28983,aciclovir,ACERPES,800 mg comp.x 20,Siegfried,"800,0",mg,20,"aciclovir_800,0_mg_20",202504,9509.46
28987,aciclovir,ACERPES,400 mg comp.x 20,Siegfried,"400,0",mg,20,"aciclovir_400,0_mg_20",202504,5182.94
28998,itraconazol,SPORANOX,caps.x 10,Janssen-Cilag,"100,0",mg,10,"itraconazol_100,0_mg_10",202504,667.81
29028,mirtazapina,COMENTER,30 mg comp.x 30,Raffo,"30,0",mg,30,"mirtazapina_30,0_mg_30",202504,16068.32
29031,"sodio,divalproato",VALCOTE ER,500 mg comp.lib.cont.x50,Abbott EPD,"500,0",mg,50,"sodio,divalproato_500,0_mg_50",202504,12393.05
29041,citalopram,HUMORAP 20,20 mg comp.x 28,Bag¿,"20,0",mg,28,"citalopram_20,0_mg_28",202504,14354.18
29043,accesorio,ACCU-CHEK SOFTCLIX NEW,lancetas x 25,Roche Diabetes,,No Clasificada,25,accesorio_No Clasificada_25,202504,0.0
29044,accesorio,ACCU-CHEK SOFTCLIX NEW,lancetas x 200,Roche Diabetes,,No Clasificada,200,accesorio_No Clasificada_200,202504,0.0
29046,bezafibrato,BEZACUR,rtd.400 mg comp.x 30,Siegfried,"400,0",mg,30,"bezafibrato_400,0_mg_30",202504,8974.34
29065,sulfadiazina de plata+asoc.,PLATSUL-A GASAS,após.x 10,Soubeiran Chobe,"1000,0",mg,10,"sulfadiazina de plata+asoc._1000,0_mg_10",202504,7155.86
29066,naltrexona,REVEZ,50 mg comp.x 10,Soubeiran Chobe,"50,0",mg,10,"naltrexona_50,0_mg_10",202504,27913.85
29099,dexketoprofeno,ENANTYUM,25 mg comp.x 40,Siegfried,"25,0",mg,40,"dexketoprofeno_25,0_mg_40",202504,11142.26
29100,nebivolol,NEBILET,5 mg comp.x 28,Siegfried,"5,0",mg,28,"nebivolol_5,0_mg_28",202504,7632.77
29101,"otilonio,bromuro",SPASMOCTYL 40,comp.x 60,Siegfried,"40,0",mg,60,"otilonio,bromuro_40,0_mg_60",202504,12718.59
29111,atorvastatín,LIPITOR,40 mg comp.x 30,Aspen Pharma,"40,0",mg,30,"atorvastatín_40,0_mg_30",202504,12080.61
29113,itraconazol,SALIMIDIN 100,100 mg cáps.x 30,Megalabs Argent,"100,0",mg,30,"itraconazol_100,0_mg_30",202504,18472.8
29123,clopidogrel,NEFAZAN,75 mg comp.x 15,Elea,"75,0",mg,15,"clopidogrel_75,0_mg_15",202504,13784.65
29124,clopidogrel,NEFAZAN,75 mg comp.x 30,Elea,"75,0",mg,30,"clopidogrel_75,0_mg_30",202504,28088.13
29130,metronidazol,PADET 0.75 % GEL,gel x 30 g,Pharmatrix,"225,0",mg,1,"metronidazol_225,0_mg_1",202504,10132.12
29132,memantine,CONEXINE,comp.rec.x 30,Beta,"10,0",mg,30,"memantine_10,0_mg_30",202504,14194.55
29186,tibolona,DISCRETAL,comp.x 30,Beta,"2,5",mg,30,"tibolona_2,5_mg_30",202504,12685.2
29235,latanoprost+timolol,XALACOM,gts.oft.x 2.5 ml,Aspen Pharma,"12,6",mg,1,"latanoprost+timolol_12,6_mg_1",202504,9808.92
29238,atorvastatín,AMPLIAR,10 mg comp.x 60,Casasco,"10,0",mg,60,"atorvastatín_10,0_mg_60",202504,9656.75
29239,atorvastatín,AMPLIAR,20 mg comp.x 60,Casasco,"20,0",mg,60,"atorvastatín_20,0_mg_60",202504,16217.66
29242,progesterona,PROGEST 200,cáps.blandas x 15,Elea,"200,0",mg,15,"progesterona_200,0_mg_15",202504,15105.89
29258,metotrexato,ERVEMIN,7.5 mg comp.x 10,Teva Argentina,"7,5",mg,10,"metotrexato_7,5_mg_10",202504,5190.69
29279,metformina,ISLOTIN 1000,1000 mg comp.rec.x 20,Craveri,"1000,0",mg,20,"metformina_1000,0_mg_20",202504,0.0
29280,metformina,ISLOTIN 1000,1000 mg comp.rec.x 50,Craveri,"1000,0",mg,50,"metformina_1000,0_mg_50",202504,0.0
29369,metotrexato,ERVEMIN,10 mg comp.x 10,Teva Argentina,"10,0",mg,10,"metotrexato_10,0_mg_10",202504,5364.71
29371,galantamina,NUMENCIAL,4 mg comp.rec.x 14,Teva Argentina,"4,0",mg,14,"galantamina_4,0_mg_14",202504,8134.96
29372,galantamina,NUMENCIAL,4 mg comp.rec.x 56,Teva Argentina,"4,0",mg,56,"galantamina_4,0_mg_56",202504,22098.01
29373,galantamina,NUMENCIAL,8 mg comp.rec.x 56,Teva Argentina,"8,0",mg,56,"galantamina_8,0_mg_56",202504,31026.42
29376,paroxetina,MEPLAR 20,20 mg comp.rec.x 30,Baliarda,"20,0",mg,30,"paroxetina_20,0_mg_30",202504,15521.92
29385,nimodipina,AC VASCULAR,30 mg comp.x 30,Biotenk,,No Clasificada,30,nimodipina_No Clasificada_30,202504,285.14
29391,"amoxicilina+clavulánico,ác.",AMOXITENK PLUS,500/125 mg comp.rec.x 16,Biotenk,,No Clasificada,16,"amoxicilina+clavulánico,ác._No Clasificada_16",202504,290.53
29392,levofloxacina,FLOXLEVO,500 mg comp.rec.x 7,Biotenk,"500,0",mg,7,"levofloxacina_500,0_mg_7",202504,4430.29
29403,amlodipina,AMLODIPINA VANNIER,10 mg comp.x 30,Vannier,"10,0",mg,30,"amlodipina_10,0_mg_30",202504,7209.29
29404,biperideno,BIPERIDENO VANNIER,2 mg comp.x 20,Vannier,"2,0",mg,20,"biperideno_2,0_mg_20",202504,1046.18
29425,"fusídico,ác.",FUSITOP,cr.x 15 g,HLB Pharma,"300,0",mg,1,"fusídico,ác._300,0_mg_1",202504,2948.55
29432,levetiracetam,KEPPRA,1000 mg comp.x 30,GlaxoSmithKline,"1000,0",mg,30,"levetiracetam_1000,0_mg_30",202504,79365.99
29518,diclofenac sódico,DICLAC,75 mg comp.rapirtd.x 10,Siegfried,"75,0",mg,10,"diclofenac sódico_75,0_mg_10",202504,1643.37
29519,diclofenac sódico,DICLAC,75 mg comp.rapirtd.x 20,Siegfried,"75,0",mg,20,"diclofenac sódico_75,0_mg_20",202504,2734.79
29546,sotalol,SOTACOR,80 mg comp.x 20,Siegfried,"80,0",mg,20,"sotalol_80,0_mg_20",202504,5174.16
29548,sotalol,SOTACOR,160 mg comp.x 20,Siegfried,"160,0",mg,20,"sotalol_160,0_mg_20",202504,7321.4
29559,cabergolina,CABASER,1 mg comp.x 30,Pfizer,"1,0",mg,30,"cabergolina_1,0_mg_30",202504,8515.87
29560,cabergolina,CABASER,2 mg comp.x 30,Pfizer,"2,0",mg,30,"cabergolina_2,0_mg_30",202504,715.24
29561,alendronato,ALENATO,70 mg comp.x 8,Siegfried,"70,0",mg,8,"alendronato_70,0_mg_8",202504,7267.37
29638,candesartán+hidroclorotiazida,TIADYL PLUS,16 mg comp.x 30,Abbott EPD,"28,5",mg,30,"candesartán+hidroclorotiazida_28,5_mg_30",202504,17559.61
29640,"sodio,cloruro",HYPERSOL UNIDOSIS,unidosis estériles x 25,Cassarß,"1500,0",mg,25,"sodio,cloruro_1500,0_mg_25",202504,3168.34
29676,acetilcisteína,ACEMUK JARABE,jbe.x 100 ml,Siegfried,"2000,0",mg,1,"acetilcisteína_2000,0_mg_1",202504,4764.23
29693,vit.d,RAQUIFEROL,fco.gotero x 4 ml,Roemmers,"6,7",mg,1,"vit.d_6,7_mg_1",202504,4668.82
29704,ampicilina,AMPIGEN,500 mg comp.x 16,Fabra,"500,0",mg,16,"ampicilina_500,0_mg_16",202504,4560.43
29715,hidroxicina,ATARAXONE,gts.x 20 ml,Lazar,"200,0",mg,1,"hidroxicina_200,0_mg_1",202504,4411.38
29716,atorvastatín,LIPONORM,10 mg comp.rec.x 60,Lazar,"10,0",mg,60,"atorvastatín_10,0_mg_60",202504,9183.26
29717,atorvastatín,LIPONORM,20 mg comp.rec.x 60,Lazar,"20,0",mg,60,"atorvastatín_20,0_mg_60",202504,15659.22
29732,diclofenac sódico,OXA GEL PLUS,gel x 50 g,Beta,"2500,0",mg,1,"diclofenac sódico_2500,0_mg_1",202504,8877.71
29741,bisoprolol,CORBIS,2.5 mg comp.rec.x 30,Roemmers,"2,5",mg,30,"bisoprolol_2,5_mg_30",202504,2881.88
29768,cistina+asoc.,LOHP 500,500 mg comp.x 30,HLB Pharma,"500,0",mg,30,"cistina+asoc._500,0_mg_30",202504,1462.08
29769,finasteride,RENACIDIN,1 mg comp.rec.x 30,HLB Pharma,"1,0",mg,30,"finasteride_1,0_mg_30",202504,7057.7
29806,clonazepam,RIVOTRIL,0.25 mg Subl.comp.x 30,Biopas Argentin,"0,3",mg,30,"clonazepam_0,3_mg_30",202504,390.24
29850,claritromicina,KLONACID,500 mg comp.x 16,Klonal,"500,0",mg,16,"claritromicina_500,0_mg_16",202504,8404.94
29855,metformina+glibenclamida,GLUCOVANCE,500 mg/2.5 mg comp.x 30,Elea,"502,5",mg,30,"metformina+glibenclamida_502,5_mg_30",202504,1344.68
29856,metformina+glibenclamida,GLUCOVANCE,500 mg/5 mg comp.x 30,Elea,"505,0",mg,30,"metformina+glibenclamida_505,0_mg_30",202504,1526.9
29874,digoxina,DIGOXINA LAFEDAR,0.25 mg comp.x 40,Lafedar,"250,0",mcg,40,"digoxina_250,0_mcg_40",202504,1088.04
29875,digoxina,DIGOXINA LAFEDAR,75 mg gts.x 10 ml,Lafedar,"7500,0",mcg,1,"digoxina_7500,0_mcg_1",202504,1119.47
29881,espironolactona,ESPIRONOLACTONA DENVER FARMA,100 mg comp.x 30,Denver Farma,"100,0",mg,30,"espironolactona_100,0_mg_30",202504,7177.99
29882,rifamicina,RIFAMICINA SV DENVER FARMA,pda.x 30 g,Denver Farma,"300,0",mg,1,"rifamicina_300,0_mg_1",202504,227.55
29890,ketoconazol,KETONAZOL LAFEDAR,2% susp.oral x 30 ml,Lafedar,"600,0",mg,1,"ketoconazol_600,0_mg_1",202504,5191.4
29892,ketoconazol,KETONAZOL LAFEDAR,2% susp.oral x 100 ml,Lafedar,"2000,0",mg,1,"ketoconazol_2000,0_mg_1",202504,7406.66
29894,ketoconazol,KETONAZOL LAFEDAR,2% cr.x 15 g,Lafedar,"300,0",mg,1,"ketoconazol_300,0_mg_1",202504,4088.71
29895,ketoconazol,KETONAZOL LAFEDAR,pvo.x 50 g,Lafedar,"1000,0",mg,1,"ketoconazol_1000,0_mg_1",202504,4461.76
29968,atorvastatín,ZARATOR,40 mg comp.x 30,Elea,"40,0",mg,30,"atorvastatín_40,0_mg_30",202504,11572.91
29983,paracetamol,TAFIROL 1 G,comp.ran.x 50,Genomma Lab.,"1000,0",mg,50,"paracetamol_1000,0_mg_50",202504,7330.2
30001,ibuprofeno,IBUMAR,400 mg comp.x 10,Mar,"400,0",mg,10,"ibuprofeno_400,0_mg_10",202504,1170.0
30002,ibuprofeno,IBUMAR,2 g/100 ml susp.x 90 ml,Mar,"1800,0",mg,1,"ibuprofeno_1800,0_mg_1",202504,2556.0
30021,ciprofloxacina,REXNER,500 mg comp.x 6,Casasco,"500,0",mg,6,"ciprofloxacina_500,0_mg_6",202504,281.05
30022,ciprofloxacina,REXNER,500 mg comp.x 20,Casasco,"500,0",mg,20,"ciprofloxacina_500,0_mg_20",202504,10643.98
30024,clonazepam,NEURYL FLASH 0.5,Flash 0.5 mg comp.x 50,Bag¿,"0,5",mg,50,"clonazepam_0,5_mg_50",202504,7593.23
30085,alprazolam,AMZIAX,0.50 mg comp.x 30,Soubeiran Chobe,"0,5",mg,30,"alprazolam_0,5_mg_30",202504,1649.67
30086,alprazolam,AMZIAX,1 mg comp.x 30,Soubeiran Chobe,"1,0",mg,30,"alprazolam_1,0_mg_30",202504,2877.69
30087,alprazolam,AMZIAX,2 mg comp.x 30,Soubeiran Chobe,"2,0",mg,30,"alprazolam_2,0_mg_30",202504,4544.0
30092,fenitoína,EPAMIN,cáps.x 30,Elea,"100,0",mg,30,"fenitoína_100,0_mg_30",202504,4282.5
30093,gabapentin,NEURONTIN,300 mg cáps.x 30,Aspen Pharma,"300,0",mg,30,"gabapentin_300,0_mg_30",202504,12549.94
30097,vit.c+citroflavonoide,CVP DUO,comp.rec.x 10,Elea,"400,0",mg,10,"vit.c+citroflavonoide_400,0_mg_10",202504,9521.98
30104,ginkgo biloba,TANAKAN FORTE,comp.x 15,Elea,"80,0",mg,15,"ginkgo biloba_80,0_mg_15",202504,14315.37
30130,terbinafina,TACNA,250 mg comp.x 14,Megalabs Argent,"250,0",mg,14,"terbinafina_250,0_mg_14",202504,9665.37
30131,terbinafina,TACNA,250 mg comp.x 28,Megalabs Argent,"250,0",mg,28,"terbinafina_250,0_mg_28",202504,17663.11
30155,lidocaína+hidrocortisona,PROCTOCREM,pda.x 20 g,Ronnet,"1050,0",mg,1,"lidocaína+hidrocortisona_1050,0_mg_1",202504,3808.97
30158,sildenafil,VORST,25 mg comp.x 6,Laboratorios Be,"25,0",mg,6,"sildenafil_25,0_mg_6",202504,3920.61
30159,sildenafil,VORST,50 mg comp.x 6,Laboratorios Be,"50,0",mg,6,"sildenafil_50,0_mg_6",202504,4745.43
30160,sildenafil,VORST,100 mg comp.x 6,Laboratorios Be,"100,0",mg,6,"sildenafil_100,0_mg_6",202504,6443.84
30162,metronidazol,PADET 1 %,cr.x 30 g,Pharmatrix,"300,0",mg,1,"metronidazol_300,0_mg_1",202504,6137.5
30217,diclofenac sódico,DICLOFENAC DENVER FARMA,75 mg/3 ml a.x 6,Denver Farma,"75,0",mg,6,"diclofenac sódico_75,0_mg_6",202504,8162.08
30218,difenhidramina,DIFENHIDRAMINA DENVER FARMA,50 mg comp.x 20,Denver Farma,"50,0",mg,20,"difenhidramina_50,0_mg_20",202504,3034.89
30221,fenitoína,FENITOINA DENVER FARMA,100 mg cáps.x 50,Denver Farma,"100,0",mg,50,"fenitoína_100,0_mg_50",202504,4581.17
30227,lisado bacteriano,LUIVAC,comp.x 14,AstraZeneca,"3,0",mg,14,"lisado bacteriano_3,0_mg_14",202504,568.34
30230,mosapride,MOSAR,5 mg comp.rec.x 30,Elea,"5,0",mg,30,"mosapride_5,0_mg_30",202504,7822.5
30231,mosapride,MOSAR,5 mg comp.rec.x 60,Elea,"5,0",mg,60,"mosapride_5,0_mg_60",202504,10105.93
30248,difenhidramina,HISTALER,jbe.x 1 x 120 ml,Duncan,"300,0",mg,1,"difenhidramina_300,0_mg_1",202504,3375.74
30251,memantine,FENTINA,10 mg comp.x 30,Megalabs Argent,"10,0",mg,30,"memantine_10,0_mg_30",202504,10435.13
30268,diclofenac sódico,VESALION,75 mg comp.x 15,Siegfried,"75,0",mg,15,"diclofenac sódico_75,0_mg_15",202504,9375.25
30277,labetalol,BIASCOR,200 mg comp.x 20,Biol,"200,0",mg,20,"labetalol_200,0_mg_20",202504,7119.97
30278,labetalol,BIASCOR,5 mg/ml a.x 10 x 4 ml,Biol,"20,0",mg,10,"labetalol_20,0_mg_10",202504,35630.35
30307,claritromicina,AEROXINA,250 mg susp.x 60 ml,Elea,"3000,0",mg,1,"claritromicina_3000,0_mg_1",202504,8741.65
30316,ketoconazol,KETONAZOL LAFEDAR,200 mg comp.x 10,Lafedar,"200,0",mg,10,"ketoconazol_200,0_mg_10",202504,4104.86
30321,midazolam,REM CHOBET,50 mg/10 ml a.x 25,Soubeiran Chobe,"50,0",mg,25,"midazolam_50,0_mg_25",202504,130929.03
30326,metimazol,DANANTIZOL,20 mg comp.x 30,Gador,"20,0",mg,30,"metimazol_20,0_mg_30",202504,3450.15
30329,risperidona,RISPERIN,0.25 mg comp.x 20,Gador,"0,3",mg,20,"risperidona_0,3_mg_20",202504,1144.46
30330,risperidona,RISPERIN,0.50 mg comp.x 20,Gador,"0,5",mg,20,"risperidona_0,5_mg_20",202504,2866.4
30338,losartán,COZAAREX,50 mg comp.x 30,Organon Arg.,"50,0",mg,30,"losartán_50,0_mg_30",202504,5088.38
30342,mirtazapina,NOXIBEL,30 mg comp.rec.x 30,Bag¿,"30,0",mg,30,"mirtazapina_30,0_mg_30",202504,15837.52
30346,amoxicilina+ambroxol,TRIFAMOX BRONQUIAL DUO 875/60,comp.x 14,Bag¿,"935,0",mg,14,"amoxicilina+ambroxol_935,0_mg_14",202504,7363.43
30349,lactobacilos+asoc.,BIOFLORA,pvo.x 7.6 g,Biosidus S.A.U.,,No Clasificada,1,lactobacilos+asoc._No Clasificada_1,202504,256.56
30358,alendronato,SILIDRAL 70,70 mg comp.x 4,Ariston,"70,0",mg,4,"alendronato_70,0_mg_4",202504,5216.63
30360,insulina aspártica,INSULINA NOVORAPID PENFILL,100 UI cart.x 5 x 3 ml,Novo Nordisk,"300,0",UI,5,"insulina aspártica_300,0_UI_5",202504,0.0
30386,citalopram,PSICONOR,20 mg comp.x 15,Teva Argentina,"20,0",mg,15,"citalopram_20,0_mg_15",202504,709.42
30387,citalopram,PSICONOR,20 mg comp.x 30,Teva Argentina,"20,0",mg,30,"citalopram_20,0_mg_30",202504,13114.71
30424,latanoprost,KLONAPROST,50mcg/ml sol.oft.x 2.5ml,Klonal,"125,0",mcg,1,"latanoprost_125,0_mcg_1",202504,5389.68
30432,atorvastatín,LIPOVASTATIN KLONAL,10 mg comp.x 30,Klonal,"10,0",mg,30,"atorvastatín_10,0_mg_30",202504,4507.53
30433,atorvastatín,LIPOVASTATIN KLONAL,20 mg comp.x 30,Klonal,"20,0",mg,30,"atorvastatín_20,0_mg_30",202504,7207.4
30440,dexametasona,NEXADRON OFTAL,0.1% sol.oft.x 5 ml,Klonal,"5,0",mg,1,"dexametasona_5,0_mg_1",202504,4729.93
30464,mupirocina,MUPIROX,2% ung.x 15 g,Fortbenton,"300,0",mg,1,"mupirocina_300,0_mg_1",202504,5378.78
30467,coaltar+asoc.,SORSIS,shamp.x 120 ml,Fortbenton,"2,4",g,1,"coaltar+asoc._2,4_g_1",202504,5611.85
30481,clindamicina,TORGYN,100 mg óv.vag.x 3,Raffo,"100,0",mg,3,"clindamicina_100,0_mg_3",202504,3928.52
30511,serenoa repens,PERMIXON,320 mg cáps.x 30,Sidus,"320,0",mg,30,"serenoa repens_320,0_mg_30",202504,23085.29
30518,"antipirina+sodio,carbonato+asoc.",SINCERUM,gts.x 5 ml,Dallas,"104,0",mg,1,"antipirina+sodio,carbonato+asoc._104,0_mg_1",202504,2914.07
30536,paroxetina,MEPLAR 10,10 mg comp.rec.x 30,Baliarda,"10,0",mg,30,"paroxetina_10,0_mg_30",202504,6702.15
30537,clonazepam,CLONAGIN,gts.x 20 ml,Baliarda,"50,0",mg,1,"clonazepam_50,0_mg_1",202504,3809.34
30539,nitroglicerina,NITRODOM,pomo x 15 g,Dom¿nguez,"30,0",mg,1,"nitroglicerina_30,0_mg_1",202504,14229.74
30542,progesterona,UTROGESTAN,200 mg cáps.x 14,Ferring,"200,0",mg,14,"progesterona_200,0_mg_14",202504,15958.93
30573,dexketoprofeno,ENANTYUM,gel x 60 g,Siegfried,"750,0",mg,1,"dexketoprofeno_750,0_mg_1",202504,5816.18
30587,norfloxacina+fenazopiridina,UROTEM DOL,comp.x 10 + 10,Temis-Lostal¿,"495,0",mg,20,"norfloxacina+fenazopiridina_495,0_mg_20",202504,4386.55
30610,atorvastatín,LIPONORM,10 mg comp.rec.x 20,Lazar,"10,0",mg,20,"atorvastatín_10,0_mg_20",202504,439.93
30638,diclofenac sódico,DIOXAFLEX,comp.x 100,Bag¿,"50,0",mg,100,"diclofenac sódico_50,0_mg_100",202504,865.1
30640,amoxicilina,TRIFAMOX,500 mg comp.x 80,Bag¿,"500,0",mg,80,"amoxicilina_500,0_mg_80",202504,930.95
30663,ketoconazol,QUADION,cr.x 15 g,Fortbenton,"300,0",mg,1,"ketoconazol_300,0_mg_1",202504,3894.64
30667,mebendazol,MEBENDAZOL FABRA,500 mg comp.x 6,Fabra,"500,0",mg,6,"mebendazol_500,0_mg_6",202504,3940.77
30677,minociclina,SEBOCLEAR,comp.x 30,Megalabs Argent,"50,0",mg,30,"minociclina_50,0_mg_30",202504,6559.99
30743,estradiol,PROGYNOVA,2 mg comp.x 28,Bayer (PH),"2,0",mg,28,"estradiol_2,0_mg_28",202504,5115.3
30787,alprazolam,AMZIAX,0.50 mg comp.x 60,Soubeiran Chobe,"0,5",mg,60,"alprazolam_0,5_mg_60",202504,3043.25
30788,alprazolam,AMZIAX,1 mg comp.x 60,Soubeiran Chobe,"1,0",mg,60,"alprazolam_1,0_mg_60",202504,5448.73
30791,"tióctico,ác.",BILETAN FORTE,50 mg comp.x 20,Gador,"50,0",mg,20,"tióctico,ác._50,0_mg_20",202504,3672.75
30794,magnesio+asoc.,TOTAL MAGNESIANO ENERGIZANTE,comp.eferv.x 12,Temis-Lostal¿,,No Clasificada,12,magnesio+asoc._No Clasificada_12,202504,2703.86
30800,"timolol,maleato",TIMOLOL DENVER FARMA,sol.oft.x 5 ml,Denver Farma,"25,0",mg,1,"timolol,maleato_25,0_mg_1",202504,1488.15
30801,tobramicina,TOBRABIOTIC,sol.oft.x 5 ml,Denver Farma,"15,0",mg,1,"tobramicina_15,0_mg_1",202504,2831.25
30802,tobramicina+dexametasona,TOBRABIOTIC D,susp.oft.x 5 ml,Denver Farma,"20,0",mg,1,"tobramicina+dexametasona_20,0_mg_1",202504,4183.26
30804,mupirocina,MUPAX,ung.derm.x 15 g,Lazar,"300,0",mg,1,"mupirocina_300,0_mg_1",202504,4750.54
30805,nimodipina+citicolina,NIMODILAT PLUS,comp.rec.x 30,Lazar,"130,0",mg,30,"nimodipina+citicolina_130,0_mg_30",202504,9053.39
30806,nimodipina+citicolina,NIMODILAT PLUS,comp.rec.x 60,Lazar,"130,0",mg,60,"nimodipina+citicolina_130,0_mg_60",202504,16341.91
30809,"vit.b,complejo",POLI B FUERTE,comp.rec.x 30,Austral,"115,0",mg,30,"vit.b,complejo_115,0_mg_30",202504,13062.0
30818,claritromicina,KLARICID,500 mg comp.x 8,Abbott EPD,"500,0",mg,8,"claritromicina_500,0_mg_8",202504,6554.92
30855,metronidazol,ETRONIL,500 mg comp.x 20,Klonal,"500,0",mg,20,"metronidazol_500,0_mg_20",202504,2819.9
30916,atorvastatín,LIPAREX,10 mg comp.rec.x 30,Finadiet,"10,0",mg,30,"atorvastatín_10,0_mg_30",202504,5318.15
30917,atorvastatín,LIPAREX,20 mg comp.rec.x 30,Finadiet,"20,0",mg,30,"atorvastatín_20,0_mg_30",202504,8717.23
30965,risperidona,DOZIC,1 mg comp.ran.x 20,Raffo,"1,0",mg,20,"risperidona_1,0_mg_20",202504,5078.24
30966,risperidona,DOZIC,2 mg comp.ran.x 20,Raffo,"2,0",mg,20,"risperidona_2,0_mg_20",202504,10074.97
